id,user_id,title,type,detail,created_at,updated_at
102,68,Cash 5011,cash,Pay on delivery,2025-07-21 16:10:14.303787,2025-07-21 16:10:14.303787
103,69,Creditcard 7291,creditcard,4420491119480197,2025-07-27 00:41:26.000782,2025-07-27 00:41:26.000782
104,70,Cash 7965,cash,Pay on delivery,2025-09-06 13:47:41.174683,2025-09-06 13:47:41.174683
105,71,Cash 5082,cash,Pay on delivery,2025-06-28 05:36:41.645926,2025-06-28 05:36:41.645926
106,71,Cash 8478,cash,Pay on delivery,2025-06-28 05:36:41.645926,2025-06-28 05:36:41.645926
107,72,Mobilebanking 9270,mobilebanking,+1-215-591-4481,2025-06-30 15:52:59.717490,2025-06-30 15:52:59.717490
108,72,Mobilebanking 9976,mobilebanking,558.332.7247,2025-06-30 15:52:59.717490,2025-06-30 15:52:59.717490
109,73,Creditcard 5543,creditcard,4189410962002,2025-10-30 10:14:22.167581,2025-10-30 10:14:22.167581
110,74,Cash 5451,cash,Pay on delivery,2025-09-13 02:05:30.529412,2025-09-13 02:05:30.529412
111,74,Mobilebanking 6238,mobilebanking,298.527.3740x0955,2025-09-13 02:05:30.529412,2025-09-13 02:05:30.529412
112,75,Cash 7275,cash,Pay on delivery,2025-06-30 22:26:55.665541,2025-06-30 22:26:55.665541
113,76,Mobilebanking 6421,mobilebanking,9534067618,2025-10-07 12:07:01.705844,2025-10-07 12:07:01.705844
114,76,Creditcard 8633,creditcard,180012312769752,2025-10-07 12:07:01.705844,2025-10-07 12:07:01.705844
115,77,Creditcard 7232,creditcard,6586080676007074,2025-09-24 17:55:41.846309,2025-09-24 17:55:41.846309
116,78,Creditcard 9947,creditcard,4311743042647009,2025-05-22 09:36:31.435239,2025-05-22 09:36:31.435239
117,78,Creditcard 4613,creditcard,676154879735,2025-05-22 09:36:31.435239,2025-05-22 09:36:31.435239
118,79,Mobilebanking 6507,mobilebanking,(235)774-0405x281,2025-10-20 23:39:54.206299,2025-10-20 23:39:54.206299
119,80,Mobilebanking 1444,mobilebanking,836-359-8503,2025-07-30 06:33:25.332150,2025-07-30 06:33:25.332150
